epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,15550.1,0.90992,0.61502,1.12952,0.92744,0.90065,0.9443,0.68746,0.9699,0.51789,1.13881,0.0004754,0.0004754,0.0004754
79,15726.8,0.90802,0.62148,1.13778,0.91648,0.90621,0.94586,0.69262,0.95505,0.51837,1.13466,0.0004556,0.0004556,0.0004556
80,15903.6,0.91129,0.60808,1.13547,0.92055,0.89703,0.94611,0.69407,0.92787,0.51553,1.12643,0.0004358,0.0004358,0.0004358
81,16080.4,0.8889,0.6063,1.12198,0.91982,0.90194,0.9414,0.6923,0.93122,0.51417,1.12371,0.000416,0.000416,0.000416
82,16257.4,0.9026,0.61009,1.12925,0.92619,0.90673,0.94788,0.68581,0.94964,0.5069,1.12871,0.0003962,0.0003962,0.0003962
83,16434.7,0.89473,0.6014,1.13232,0.92838,0.91999,0.95132,0.69349,0.9424,0.50673,1.13445,0.0003764,0.0003764,0.0003764
84,16612.1,0.90243,0.60568,1.126,0.93293,0.91097,0.94841,0.69632,0.94628,0.49536,1.12963,0.0003566,0.0003566,0.0003566
85,16788.9,0.88587,0.58481,1.12131,0.9323,0.90627,0.95486,0.70652,0.91953,0.49302,1.11308,0.0003368,0.0003368,0.0003368
86,16966.3,0.88653,0.60379,1.12596,0.94234,0.91484,0.95657,0.70788,0.91775,0.48936,1.11762,0.000317,0.000317,0.000317
87,17144.3,0.87369,0.58191,1.12313,0.93752,0.90995,0.95536,0.70729,0.92247,0.49485,1.11402,0.0002972,0.0002972,0.0002972
88,17323.2,0.87133,0.57466,1.11574,0.92829,0.92,0.95848,0.70998,0.91383,0.48897,1.11187,0.0002774,0.0002774,0.0002774
89,17503,0.866,0.57233,1.10639,0.92508,0.92258,0.95703,0.70211,0.91479,0.48614,1.11466,0.0002576,0.0002576,0.0002576
90,17681.3,0.86162,0.57672,1.12206,0.92618,0.92272,0.95492,0.70665,0.9163,0.48512,1.1169,0.0002378,0.0002378,0.0002378
